"samples" "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum"
29 776.025641025641 1660.4865220249833 800.0 535.0 265.0 17.35042735042736 28.405281284863147 -5.281924424124305 785.0 775.0 790.0 30265.0 6.7105263157894735 1404.310941828255 230.0 -10.0 240.0 14.016620498614959 30.179804794012092 5.547954684195281 0.0 -5.0 5.0 255.0 782.7586206896551 88.44173602853746 792.5 767.5 25.0 8.713436385255662 -1.4756508415549998 -0.527026244614064 788.0 772.5 791.0 22700.0
38 790.2631578947369 88.08864265927978 810.0 770.0 40.0 7.6731301939058225 -0.6599138186780591 -0.004562886631184993 790.0 785.0 795.0 30030.0 -0.2631578947368421 93.35180055401662 15.0 -20.0 35.0 7.700831024930747 -0.48021467125712114 -0.49450435125153497 0.0 -5.0 5.0 -10.0 790.921052631579 19.901662049861503 799.5 783.0 16.5 3.8864265927977852 -1.0077759325807174 0.17825183275835454 790.0 787.5 794.75 30055.0
39 783.2051282051282 117.2912557527942 805.0 765.0 40.0 9.257067718606176 -0.8359025449184512 0.5269731312638383 780.0 775.0 790.0 30545.0 0.2564102564102564 53.78040762656148 15.0 -15.0 30.0 5.943458251150558 -0.4751787411600841 -0.03992242564736594 0.0 -5.0 5.0 10.0 782.1282051282051 64.85535831689677 798.0 773.0 25.0 7.029585798816557 -0.9284020842391931 0.7344919098951097 778.5 775.5 788.0 30503.0
38 786.0526315789474 50.20775623268696 800.0 770.0 30.0 5.6371191135734104 -0.2500984542211624 -0.04210801875354022 785.0 780.0 790.0 29870.0 -0.2631578947368421 81.50969529085872 15.0 -15.0 30.0 7.659279778393352 -0.9987966757355111 0.051708959640745164 0.0 -5.0 5.0 -10.0 787.0526315789474 7.79986149584488 794.5 781.5 13.0 2.0609418282548524 0.8011962208650454 0.517584712972319 787.0 785.5 788.375 29908.0
38 779.8684210526316 124.3247922437673 800.0 755.0 45.0 9.349030470914128 -0.7631620298975132 0.13269494667517898 780.0 770.0 790.0 29635.0 -0.2631578947368421 72.29916897506925 20.0 -15.0 35.0 6.398891966759003 -0.18126568899458295 -0.11045670977772899 0.0 -5.0 5.0 -10.0 781.5131578947369 35.69061634349029 792.0 774.5 17.5 5.27839335180056 -1.2946438446431674 0.45928743538392114 779.75 776.125 786.375 29697.5
36 783.8888888888889 219.59876543209873 805.0 750.0 55.0 12.623456790123454 -0.7426556684209626 -0.506599022116209 785.0 775.0 795.0 28220.0 0.6944444444444444 114.10108024691357 30.0 -20.0 50.0 8.233024691358025 0.4466204450338678 0.10951889012051308 0.0 -5.0 5.0 25.0 780.9027777777778 142.51138117283952 798.5 764.0 34.5 10.49151234567901 -1.3641627050206309 0.005951871876564331 781.75 769.375 790.625 28112.5
36 790.8333333333334 64.58333333333333 810.0 780.0 30.0 6.759259259259263 -0.6625043357613647 0.33004053939805683 790.0 785.0 795.0 28470.0 0.2777777777777778 90.20061728395062 20.0 -15.0 35.0 7.793209876543211 -0.8008204536789805 -0.05534308391060584 0.0 -6.25 5.0 10.0 791.1944444444445 3.8510802469135808 795.5 788.0 7.5 1.6558641975308634 -0.7319930432984125 -0.07401604446521026 791.75 790.0 792.5 28483.0
38 793.9473684210526 97.57617728531856 810.0 770.0 40.0 8.47645429362881 -0.5706738743784929 -0.341185367130672 795.0 786.25 800.0 30170.0 -0.13157894736842105 73.00900277008311 20.0 -20.0 40.0 6.752077562326869 -0.01380018960710494 -0.3387313074567031 0.0 -5.0 5.0 -5.0 792.6052631578947 21.344182825484765 803.5 786.5 17.0 3.6592797783933375 -0.07460427665625291 0.995105583728494 791.0 789.5 794.375 30119.0
31 810.0 190.32258064516128 830.0 785.0 45.0 11.612903225806452 -0.8983050847457625 -0.32250179573915905 815.0 800.0 820.0 25110.0 0.8064516129032258 75.96253902185224 20.0 -15.0 35.0 7.065556711758584 -0.49755817226496557 0.2271273783138851 0.0 -5.0 5.0 25.0 808.1774193548387 69.12174817898024 822.5 795.0 27.5 6.911550468262238 -1.0291414067832505 -0.09350630836212782 809.0 800.75 813.25 25053.5
11 766.8181818181819 1642.1487603305786 885.0 730.0 155.0 25.0413223140496 3.722139173880336 2.0862755880242596 760.0 745.0 770.0 8435.0 5.454545454545454 1356.6115702479337 105.0 -55.0 160.0 22.314049586776857 2.5407410812807374 1.346843086927559 5.0 -10.0 10.0 60.0 780.0909090909091 339.3099173553719 810.0 755.0 55.0 16.462809917355376 -1.3452713005634647 0.3067104402367798 775.5 765.5 796.25 8581.0
