samples "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum"
6 759.0625 18325.68359375 1085 560 525 106.2109375 0.18361869090565852 0.8460327360113092 715.0 685.0 833.75 12145 6.333333333333333 42251.55555555557 505.0 -335.0 840.0 146.2666666666667 0.5225339480203792 0.6438743831430996 -20.0 -82.5 72.5 95.0 762.8333333333334 187.55555555555557 790.5 749.5 41.0 10.0 0.05527495978020269 1.0797227375786906 761.5 752.25 764.0 4577.0
41 731.5853658536586 18484.681737061273 1175 505 670 95.34800713860798 2.49175700784357 1.3674301749451399 710.0 650.0 760.0 29995 0.8536585365853658 43264.51516954194 630.0 -385.0 1015.0 121.07674003569304 2.119187487663628 1.0210952447987052 5.0 -20.0 25.0 35.0 735.1585365853658 2309.005353955978 803.0 640.5 162.5 40.911957168352174 -0.9465722915863659 -0.5699028526789335 743.5 699.0 775.0 30141.5
44 690.7954545454545 16191.98088842975 1140 490 650 96.849173553719 1.934820093611548 0.9137788098714765 660.0 635.0 770.0 30395 3.2954545454545454 36755.61725206611 630.0 -310.0 940.0 140.41322314049583 1.351784839134889 1.0603771000889124 -15.0 -131.25 71.25 145.0 694.4090909090909 3173.61673553719 800.0 620.5 179.5 49.96487603305786 -1.1927728345401192 0.5343939345209356 673.0 647.125 745.25 30554.0
41 722.0731707317074 32478.019036287926 1180 500 680 143.15883402736466 0.442643468776589 1.0077212841707388 660.0 610.0 810.0 29605 -1.7073170731707317 78445.86555621655 675.0 -470.0 1145.0 218.8102320047591 -0.04653540993973282 0.7175611751760874 -80.0 -160.0 155.0 -70.0 728.5 3138.6341463414633 808.5 636.0 172.5 50.146341463414636 -1.4863844157197634 -0.13743409763260916 732.5 668.0 778.0 29868.5
43 705.9302325581396 7678.204434829639 915 495 420 60.237966468361286 1.169077740710219 0.44254407016760766 695.0 665.0 732.5 30355 1.5116279069767442 12759.92428339643 405.0 -230.0 635.0 67.36073553272038 4.960701033891557 1.5722128541954723 0.0 -45.0 20.0 65.0 688.1395348837209 881.620064899946 783.0 648.0 135.0 21.119524067063278 2.2258214592214918 1.3777623150663356 687.5 671.0 696.75 29590.0
40 725.375 6470.484375 970 510 460 62.2375 1.3374780033758036 0.6149091892584493 700.0 675.0 772.5 29015 -8.0 5694.75 165.0 -375.0 540.0 42.9 12.006575351371081 -2.4658632760945403 -5.0 -20.0 20.0 -320.0 734.1125 1622.75609375 809.5 681.5 128.0 34.748749999999994 -1.1220092112807 0.3207879875859476 730.25 695.0 767.5 29364.5
44 704.4318181818181 13368.427169421491 1105 480 625 79.58161157024792 2.4996863014097297 0.9549949903590776 677.5 660.0 740.0 30995 -0.6818181818181818 32537.03512396694 595.0 -315.0 910.0 104.93801652892563 2.5129222812059613 1.2287878580820173 -5.0 -28.75 15.0 -30.0 716.3068181818181 1038.650180785124 779.5 648.5 131.0 25.78409090909091 -0.6058910088177138 0.19476798106368767 715.75 692.5 733.625 31517.5
44 677.3863636363636 6872.14617768595 935 490 445 52.680785123966935 2.0243831728516684 0.6467752593807783 662.5 645.0 681.25 29805 4.431818181818182 18268.427169421488 435.0 -345.0 780.0 73.49690082644628 2.802983534528667 0.7609717876799703 0.0 -16.25 15.0 195.0 672.8522727272727 908.4497675619834 734.5 634.5 100.0 24.571280991735545 -0.5614251326741613 0.8263110350953793 664.25 654.0 685.625 29605.5
20 622.0 3353.5 740 460 280 40.8 1.62270309505974 -0.8895066934538152 625.0 598.75 660.0 12440 -4.0 7641.5 280.0 -145.0 425.0 48.4 3.667746990497572 1.5112190748332595 -10.0 -16.25 1.25 -80.0 639.025 728.5868749999998 670.5 597.0 73.5 24.5725 -1.5265069283161234 -0.2692389082250262 644.75 614.875 667.125 12780.5
46 655.8695652173913 2770.9829867674857 830 450 380 32.97731568998109 5.340111534900462 -0.26838388066836283 655.0 630.0 672.5 30170 1.4130434782608696 4519.198960302457 380.0 -190.0 570.0 29.702268431001887 20.393730701813656 3.3086005167459325 0.0 -15.0 10.0 65.0 650.4673913043479 841.2000236294897 700.0 594.5 105.5 24.102079395085045 -0.8961640940373368 -0.09176824292218504 654.0 628.5 671.125 29921.5
41 738.6585365853658 12061.00535395598 1005 440 565 78.51279000594884 1.5119441913679834 -0.2852273573534631 740.0 685.0 805.0 30285 2.073170731707317 27521.921475312316 565.0 -335.0 900.0 90.67816775728733 4.233195004417666 1.4535060813533662 -10.0 -25.0 25.0 85.0 724.4756097560976 803.3408685306365 773.5 668.5 105.0 24.21653777513385 -0.9439128018956859 0.08959834068471201 720.5 704.5 745.0 29703.5
42 704.5238095238095 5639.0589569161 1100 590 510 43.049886621315196 15.702274915700471 3.415271099393153 695.0 665.0 720.0 29590 0.23809523809523808 11770.181405895692 510.0 -360.0 870.0 50.03401360544218 12.07932982236373 1.432715324163713 0.0 -20.0 20.0 10.0 712.0833333333334 1123.1537698412699 798.0 655.0 143.0 28.198412698412692 -0.521146487521611 0.16619171727452628 716.5 683.875 732.375 29907.5
42 710.8333333333334 22749.90079365079 1095 470 625 118.25396825396824 0.14833167706446737 0.6460438080543818 690.0 610.0 788.75 29855 -4.880952380952381 60800.58106575965 595.0 -350.0 945.0 191.57596371882087 -0.020632896404726875 0.8789053219896845 -52.5 -177.5 72.5 -205.0 710.25 748.8244047619048 771.5 655.0 116.5 22.714285714285715 -0.7155367355393683 0.20222584626834195 708.25 688.625 732.0 29830.5
43 700.8139534883721 24316.197944835047 1255 490 765 112.68793942671715 2.569965215062185 1.406596568935899 670.0 630.0 767.5 30135 16.3953488372093 53968.98323418063 765.0 -360.0 1125.0 170.02163331530556 1.4364492893717156 1.208044436088046 -15.0 -142.5 60.0 705.0 690.1744186046511 1507.6846944294214 796.5 636.0 160.5 32.62033531638723 -0.4820718855514463 0.5202406133961349 689.0 655.25 717.75 29677.5
34 722.6470588235294 17003.287197231835 1255 520 735 91.50519031141869 5.86647016566603 1.9354245295392418 690.0 647.5 767.5 24570 0.0 34245.58823529412 570.0 -610.0 1180.0 111.17647058823529 3.919397403837025 0.1264981647285342 -10.0 -77.5 25.0 0.0 728.9411764705883 597.393598615917 805.0 668.0 137.0 18.147058823529413 1.7357446750487746 0.2440330805064839 729.75 715.25 742.125 24784.0
16 758.75 25417.1875 1115 495 620 126.875 -0.22127824216536496 0.3174864134625016 760.0 643.75 836.25 12140 -8.75 74326.5625 405.0 -555.0 960.0 210.46875 -0.5021817024060469 -0.3319291022836079 7.5 -137.5 150.0 -140.0 752.0625 1198.12109375 813.0 706.5 106.5 29.6953125 -1.098588090717457 0.41997407999127107 748.0 722.75 779.125 12033.0
41 744.390243902439 11383.164782867341 1050 520 530 79.25639500297441 0.6999941068895068 0.6570875607037794 725.0 690.0 790.0 30520 -6.341463414634147 25090.273646638907 455.0 -355.0 810.0 105.09815585960737 1.883615914470468 0.4192118518313122 0.0 -80.0 60.0 -260.0 748.0853658536586 1341.4744199881025 812.5 677.0 135.5 31.290303390838776 -0.9022980663625333 -0.44754046683197074 759.5 716.0 776.0 30671.5
40 746.875 5964.609375 905 630 275 72.46875 -1.4827037404842813 0.07431445341968261 735.0 670.0 816.25 29875 -4.125 632.359375 50.0 -70.0 120.0 18.2 0.9289495352609474 -0.6949683086785974 0.0 -15.0 6.25 -165.0 756.4625 3856.7923437500003 838.5 665.0 173.5 57.64125 -1.6430784455688439 -0.19447844622196667 773.25 685.75 817.875 30258.5
42 704.7619047619048 8658.276643990932 1010 490 520 54.71655328798187 3.236726439112256 1.18189623421272 695.0 671.25 713.75 29600 0.35714285714285715 24380.229591836734 520.0 -310.0 830.0 86.98979591836735 2.9367758436301026 1.1365168248454915 5.0 -26.25 15.0 15.0 702.452380952381 495.54535147392295 757.0 669.0 88.0 18.807256235827666 -0.5820961387024215 0.6092017329543018 700.75 683.5 718.0 29503.0
44 690.2272727272727 13387.448347107438 1080 490 590 80.0413223140496 1.5343967963922784 0.6407227415450314 680.0 655.0 747.5 30370 -0.22727272727272727 37315.85743801652 560.0 -335.0 895.0 136.37396694214877 0.4125205348754726 0.9154759281271696 0.0 -156.25 22.5 -10.0 691.5795454545455 398.1016270661158 728.0 637.5 90.5 16.185950413223136 -0.1358059837258354 -0.4891891888782298 695.25 674.5 705.5 30429.5
44 680.7954545454545 11534.026342975207 1085 490 595 79.08574380165288 2.8600198010025135 1.013073822912647 660.0 633.75 731.25 29955 -0.7954545454545454 29370.389979338852 530.0 -385.0 915.0 120.83161157024793 1.1547905927891202 0.7181556460856033 0.0 -122.5 30.0 -35.0 681.8863636363636 933.3734504132233 736.0 627.5 108.5 26.55061983471074 -1.2487874929051062 0.04442710367746391 682.5 654.375 709.875 30003.0
41 718.170731707317 10385.068411659728 1010 485 525 82.31409875074358 0.3611051700233623 0.5617435671249205 680.0 655.0 780.0 29445 1.951219512195122 13194.973230220108 390.0 -240.0 630.0 63.70612730517549 3.4403972054735377 0.9533624065004065 0.0 -10.0 15.0 80.0 702.2439024390244 2342.0380725758478 781.0 643.0 138.0 44.53004164187983 -1.5088355163324925 0.3458866370444568 680.5 658.5 755.0 28792.0
19 642.1052631578947 753.4626038781163 705 595 110 22.216066481994456 -0.24463512381054953 0.5087240704747646 640.0 622.5 660.0 12200 -3.6842105263157894 1252.2160664819944 40.0 -120.0 160.0 25.98337950138504 3.539192824841095 -1.6074321146548947 0.0 -17.5 22.5 -70.0 678.3947368421053 2714.6204986149583 771.5 632.5 139.0 47.024930747922454 -1.2059580173401987 0.7440166781649958 646.0 636.25 733.0 12889.5
45 669.4444444444445 4009.1358024691363 870 510 360 42.74074074074075 2.095908786760031 0.48086847076994793 665.0 640.0 695.0 30125 -0.2222222222222222 8556.617283950616 310.0 -205.0 515.0 53.125925925925934 3.0049437262275296 0.8479832409974066 0.0 -20.0 15.0 -10.0 667.2666666666667 297.0288888888889 704.0 628.5 75.5 13.794074074074075 -0.3856385266255784 0.011048299502853312 668.5 656.0 680.5 30027.0
43 706.046511627907 12801.811790156844 1005 500 505 90.84910762574364 0.25794773023840545 0.7224997217044126 670.0 635.0 777.5 30360 0.6976744186046512 24566.955110870742 485.0 -355.0 840.0 90.31368307193078 2.868720706775724 0.6523662252918625 0.0 -25.0 27.5 30.0 702.953488372093 1960.1141157382365 778.5 627.0 151.5 37.030827474310435 -1.0869334678961438 -0.20847164507721522 707.0 661.25 737.5 30227.0
41 720.2439024390244 14620.672218917309 1125 500 625 75.68709101725163 2.8082013989162755 1.2207468304363762 700.0 685.0 745.0 29530 1.3414634146341464 39823.2004759072 570.0 -315.0 885.0 119.7323022010708 1.5894408170641752 1.0781530294683508 0.0 -35.0 20.0 55.0 720.5365853658536 278.7120761451517 759.0 698.5 60.5 14.333729922665077 -0.5723763738322423 0.615083105172219 715.0 707.5 735.0 29542.0
44 681.25 6776.278409090909 1100 525 575 46.76136363636363 13.111220191794455 2.8892662510391864 670.0 648.75 695.0 29975 -2.727272727272727 15078.925619834712 575.0 -375.0 950.0 55.45454545454545 11.096469361461033 1.4992830011947755 -2.5 -21.25 11.25 -120.0 687.8068181818181 622.8888171487604 728.0 647.5 80.5 21.864669421487612 -1.1921284573970254 -0.3043051338373641 697.5 664.125 705.625 30263.5
44 687.9545454545455 7599.22520661157 920 490 430 65.71280991735539 0.6895086636911238 0.623542120274836 665.0 645.0 727.5 30270 0.9090909090909091 15088.946280991735 430.0 -300.0 730.0 75.6198347107438 3.6710142931397245 0.9275452918588929 0.0 -40.0 35.0 40.0 682.7386363636364 803.3464617768594 730.5 628.5 102.0 22.920454545454547 -0.8545028779801522 -0.007319772274938282 682.75 663.0 698.25 30040.5
45 669.4444444444445 11508.024691358023 1150 490 660 68.24691358024691 6.991298427058869 1.9102969379502341 655.0 620.0 695.0 30125 0.1111111111111111 23424.987654320983 570.0 -355.0 925.0 94.13333333333334 3.5213925276305975 1.1923013097565607 -5.0 -65.0 25.0 5.0 678.6555555555556 1420.2202469135802 756.5 603.5 153.0 28.57135802469136 -0.24945700794277226 0.2831126748982531 674.5 661.5 697.0 30539.5
43 674.7674418604652 881.3412655489453 735 605 130 23.948080043266632 -0.25005495376224607 -0.021384394231471815 670.0 655.0 695.0 29015 1.3953488372093024 437.5878853434288 50.0 -65.0 115.0 15.121687398593837 1.4387726568019588 -0.6977273706841807 5.0 -7.5 10.0 60.0 663.3488372093024 650.5062195781503 706.0 604.5 101.5 19.68036776636019 0.039792036017681554 -0.7333070662287843 671.0 654.5 677.75 28524.0
17 696.4705882352941 4152.249134948097 805 500 305 41.73010380622838 2.9568234687500023 -1.1176826508450433 690.0 675.0 715.0 11840 -13.529411764705882 2508.1314878892736 40.0 -175.0 215.0 34.740484429065745 3.664168909477307 -1.8000524479299134 -10.0 -25.0 20.0 -230.0 706.5294117647059 116.36678200692043 723.0 688.5 34.5 8.792387543252596 -0.9877219494934 -0.13975815576282485 707.0 701.0 712.5 12011.0
43 704.6511627906976 8816.738777717685 1005 475 530 65.6571119524067 1.7475319396275193 0.2902274135373175 695.0 660.0 745.0 30300 2.6744186046511627 21371.335857220114 410.0 -305.0 715.0 92.86100594916171 1.5543517235035553 0.8245718613374701 0.0 -42.5 27.5 115.0 706.4302325581396 914.0300162249863 762.0 650.0 112.0 25.34342888047593 -0.887168895434939 -0.4977880648627916 715.5 681.5 728.25 30376.5
44 678.9772727272727 7076.794938016529 895 485 410 51.60640495867768 1.4061612187320973 0.3495234686766288 670.0 660.0 690.0 29875 4.090909090909091 19376.446280991742 375.0 -205.0 580.0 85.55785123966943 1.5679776730854202 1.1254395028169581 0.0 -27.5 15.0 180.0 674.6136363636364 161.6348140495868 704.5 633.5 71.0 8.992768595041325 1.4453743691412617 -0.3494611299637423 674.25 668.375 680.0 29683.0
45 673.7777777777778 3006.8395061728397 845 600 245 38.59259259259261 2.4841881498870633 1.5911446104898752 660.0 640.0 680.0 30320 -2.6666666666666665 600.6666666666665 55.0 -60.0 115.0 18.503703703703703 0.06456611082437025 -0.006274547149275854 0.0 -15.0 10.0 -120.0 678.1888888888889 1553.258765432099 751.5 622.0 129.5 32.779259259259256 -0.8743334728898953 0.4694000394308736 672.0 649.0 696.0 30518.5
43 696.6279069767442 11390.37317468902 1040 470 570 74.06165494862087 1.5015608163708372 0.35177668260861217 685.0 657.5 742.5 29955 0.46511627906976744 26463.73715521904 495.0 -325.0 820.0 107.45267712276906 1.399850563799463 0.7652661603771173 -5.0 -75.0 22.5 20.0 698.3023255813954 850.5713899405084 747.5 649.0 98.5 26.844240129799896 -1.4625500231447384 0.03162897205390871 693.5 675.5 726.0 30027.0
43 682.4418604651163 11663.22336398053 1160 485 675 69.35100054083289 7.01727962474269 1.8164342028384823 670.0 637.5 717.5 29345 10.813953488372093 22016.197944835047 625.0 -290.0 915.0 78.77230935640887 6.0230714000253425 1.8997644464728551 5.0 -22.5 20.0 465.0 672.3488372093024 622.8783126014063 718.5 625.5 93.0 20.64088696592752 -0.8529733259202721 -0.16777541765335502 676.5 651.0 691.0 28911.0
45 671.2222222222222 8484.617283950618 1000 495 505 60.291358024691334 3.272647673191484 1.6450130440821802 645.0 635.0 670.0 30205 -11.777777777777779 22623.506172839512 465.0 -435.0 900.0 80.60740740740741 3.4776067111543947 0.17729470501152098 0.0 -15.0 15.0 -530.0 681.6111111111111 1573.1543209876543 761.5 631.5 130.0 35.64691358024691 -1.364467211379563 0.23870947931623582 681.0 641.5 715.5 30672.5
41 724.8780487804878 3565.229030339084 855 625 230 50.612730517549075 -0.8544373862377914 0.3454516077736758 725.0 680.0 770.0 29720 2.317073170731707 1275.728732897085 95.0 -65.0 160.0 28.566329565734684 -0.2786932639744202 0.4864503097617015 0.0 -25.0 25.0 95.0 708.280487804878 2078.793277810827 773.5 637.5 136.0 42.16240333135039 -1.5176689313628422 -0.20865995929941633 722.5 666.0 750.5 29039.5
18 702.7777777777778 17633.950617283946 1100 480 620 95.37037037037038 2.2766382526120763 1.271591957768641 657.5 651.25 738.75 12650 -4.166666666666667 43828.47222222222 570.0 -355.0 925.0 138.88888888888889 1.2846124351052621 0.9193121150718282 -7.5 -133.75 52.5 -75.0 726.6944444444445 1122.0594135802469 794.5 663.5 131.0 25.370370370370374 -0.08874081881087958 0.5420533139548002 720.5 708.75 740.125 13080.5
45 666.8888888888889 6882.543209876543 910 470 440 50.044444444444444 1.6942817761240185 -0.013679200581880133 665.0 650.0 695.0 30010 1.0 18644.0 420.0 -200.0 620.0 81.82222222222222 2.0169426546284486 1.329770832105697 -5.0 -30.0 10.0 45.0 669.8444444444444 340.4313580246913 726.0 640.0 86.0 15.109135802469135 0.6558295394375508 0.9271067940334075 665.0 655.5 682.0 30143.0
43 696.5116279069767 4154.110329908058 1030 535 495 35.52731206057329 14.77572516877061 2.931026556232703 685.0 670.0 707.5 29950 0.3488372093023256 9914.413196322335 495.0 -320.0 815.0 42.53109789075176 14.333452816981687 1.8008247095667425 -5.0 -15.0 17.5 15.0 688.2209302325581 332.4918875067604 718.0 662.5 55.5 16.05786911844239 -1.3276451160526883 0.3808174916809477 683.0 673.0 707.75 29593.5
41 737.8048780487804 8524.4497323022 950 470 480 74.82450922070197 0.5974780408985119 -0.09437787852843917 730.0 670.0 800.0 30250 1.3414634146341464 5412.224866151101 295.0 -155.0 450.0 48.221296847114814 4.591818786445524 1.3356838788659324 -5.0 -25.0 20.0 55.0 748.5853658536586 2069.14515169542 826.5 675.0 151.5 40.624033313503865 -1.314247024587 0.04908111725639983 746.0 699.5 788.0 30692.0
46 641.5217391304348 4602.03213610586 830 495 335 41.455576559546316 1.6489729835564546 0.3420505586143614 645.0 620.0 658.75 29510 -2.391304347826087 12930.151228733457 320.0 -170.0 490.0 68.4782608695652 1.7682091867047927 1.3087345553020797 -2.5 -25.0 5.0 -110.0 640.1413043478261 230.14851134215493 670.5 613.5 57.0 13.405482041587897 -1.1421248030321085 -0.24244209250948445 644.5 626.0 652.875 29446.5
45 667.2222222222222 4470.617283950617 890 530 360 47.0864197530864 2.456902084547975 1.2733966927863662 650.0 635.0 680.0 30025 -0.1111111111111111 3950.543209876543 210.0 -110.0 320.0 38.07901234567901 3.8352122227623813 1.5382867146614743 -5.0 -20.0 20.0 -5.0 660.1 1203.0177777777776 753.0 629.5 123.5 24.60444444444446 1.6776257673816222 1.7378812389409088 650.0 639.0 656.5 29704.5
45 668.5555555555555 200.6913580246914 695 645 50 12.14320987654321 -1.0278912764856794 0.012860991281500828 670.0 660.0 680.0 30085 0.6666666666666666 324.00000000000006 40.0 -35.0 75.0 14.770370370370369 -0.5773496023076885 0.22034242747548635 0.0 -15.0 15.0 30.0 673.7222222222222 327.29506172839507 742.5 657.5 85.0 10.079012345678985 7.516788176355911 2.8297843596460974 670.0 665.5 673.5 30317.5
41 716.829268292683 20538.72694824509 1060 465 595 101.74301011302798 0.49258958984875223 0.4600930614172543 700.0 660.0 765.0 29390 5.853658536585366 59412.076145151696 580.0 -335.0 915.0 165.59190957763235 0.3449052075692043 0.8288653065281799 0.0 -205.0 50.0 240.0 711.280487804878 429.9396192742415 751.0 671.5 79.5 17.365258774538972 -0.6884230711960888 -0.3947261186850085 718.0 697.0 725.0 29162.5
17 734.1176470588235 30085.98615916955 1175 455 720 131.41868512110727 0.5323232671181475 0.5301014086600119 720.0 655.0 800.0 12480 -7.0588235294117645 89061.93771626298 705.0 -470.0 1175.0 213.598615916955 0.14137904049269157 0.4570514095903788 15.0 -245.0 90.0 -120.0 724.0294117647059 1214.955017301038 784.0 681.0 103.0 31.743944636678194 -1.3196205012038305 0.5617968711497415 707.0 698.0 759.0 12308.5
43 707.0930232558139 10614.223904813414 1015 500 515 69.14007571660356 1.0129795782637236 0.516769398050087 705.0 665.0 725.0 30405 0.46511627906976744 24512.574364521362 515.0 -310.0 825.0 102.14710654407789 2.006783699603427 1.1130244075376778 0.0 -75.0 32.5 20.0 703.9651162790698 1038.9232017306651 789.5 650.0 139.5 27.1238507301244 -0.2942488956613398 0.5232571299658275 696.5 681.25 726.25 30270.5
41 729.5121951219512 4155.859607376561 830 620 210 59.50029744199881 -1.4936749538400342 -0.023023046517743173 725.0 675.0 795.0 29910 -3.902439024390244 1426.2343842950625 100.0 -90.0 190.0 26.597263533610946 1.1107487526653266 0.262424920789686 -10.0 -20.0 10.0 -160.0 742.0365853658536 1209.2364663890542 798.0 688.5 109.5 31.03747769185009 -1.3239968440853547 0.038736508628038 738.5 713.0 770.5 30423.5
43 699.5348837209302 6466.062736614386 955 485 470 56.3926446727961 2.051638808551507 0.5887091094291697 680.0 660.0 720.0 30080 6.8604651162790695 11694.21308815576 470.0 -295.0 765.0 55.56517036235803 8.088175840608079 1.592611294759293 0.0 -20.0 27.5 295.0 695.7558139534884 693.8996755002705 760.0 656.0 104.0 20.531638723634423 0.005730216547447764 1.0285215809577044 688.0 680.5 700.5 29917.5
42 713.6904761904761 14065.547052154196 945 485 460 99.81859410430839 -0.6627413625265604 -0.4060668258074053 705.0 642.5 815.0 29975 -6.785714285714286 24516.454081632655 355.0 -275.0 630.0 112.09183673469389 0.08562246347375835 0.8318701786321924 -10.0 -133.75 11.25 -285.0 717.3809523809524 3982.2715419501133 844.5 645.0 199.5 55.13832199546486 -0.9113110825293225 0.7085902038835704 689.75 670.625 760.25 30130.0
46 654.5652173913044 8911.767485822305 965 485 480 67.07939508506615 1.481019595194991 0.684881374280384 647.5 625.0 700.0 30110 0.5434782608695652 24418.726370510398 450.0 -305.0 755.0 112.81190926275991 0.6474992293151303 0.8179068601272685 -12.5 -118.75 47.5 25.0 654.4130434782609 213.5576559546314 674.0 613.5 60.5 12.431947069943288 -0.37640238479454213 -0.6901779012212507 659.25 641.125 665.375 30103.0
