 samples "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum" label
56 30 736.3157894736843 9543.005540166203 945.0 360.0 585.0 60.76177285318562 4.322866089123029 -1.4900453037453287 755.0 735.0 770.0 27980.0 8.552631578947368 22469.615650969532 470.0 -400.0 870.0 91.21191135734078 2.407572759268698 0.6860185947203563 0.0 -18.75 5.0 325.0 739.4333333333333 1436.6455555555551 771.0 647.0 124.0 29.50222222222225 0.32059251117218057 -1.3485150691322012 755.25 740.0 766.25 0
57 40 736.25 7824.6875 870.0 250.0 620.0 46.125 20.047330520791572 -4.022555066387039 742.5 715.0 780.0 29450.0 -0.25 15069.9375 570.0 -415.0 985.0 48.775 12.250644986441074 1.5791057221945433 0.0 -10.0 10.0 -10.0 738.425 809.7818749999999 786.0 692.5 93.5 24.338749999999994 -1.1470472958430291 0.3978052217323391 732.5 715.375 765.75 0
58 40 749.125 1568.609375 780.0 525.0 255.0 20.8875 22.72913241069913 -4.5022111080787575 760.0 740.0 765.0 29965.0 0.375 2274.234375 210.0 -205.0 415.0 17.2375 14.965074120750401 0.15076009596455306 0.0 -5.0 5.0 15.0 748.2875 514.59859375 772.5 687.5 85.0 18.676249999999992 -0.0654466528780362 -1.040172095828373 757.75 737.625 764.75 0
59 41 737.0731707317073 110.94586555621656 755.0 710.0 45.0 8.221296847114813 0.4246486354390666 -0.8198564950395351 735.0 735.0 745.0 30220.0 -0.24390243902439024 45.062462819750145 15.0 -20.0 35.0 4.955383700178466 0.8145234127373144 -0.45535740030656 0.0 -5.0 5.0 -10.0 737.1829268292682 46.55800118976801 743.5 714.5 29.0 4.781082688875693 3.1590603637994388 -1.9426733150985118 739.5 737.0 741.0 0
60 41 739.390243902439 97.79892920880428 750.0 715.0 35.0 8.334324806662705 -0.5240880907347263 -0.7573239335173645 745.0 735.0 745.0 30315.0 -0.4878048780487805 42.4449732302201 10.0 -15.0 25.0 5.2766210588935145 -0.7997305445239933 -0.2821167535701504 0.0 -5.0 5.0 -20.0 739.3658536585367 35.06127305175491 747.0 724.0 23.0 4.961927424152289 -0.4229181888889349 -0.5645657931821944 739.5 734.5 745.0 0
61 42 714.7619047619047 740.419501133787 760.0 660.0 100.0 22.879818594104304 -0.9417509393781108 -0.2266484526303173 717.5 690.0 730.0 30020.0 0.5952380952380952 76.43140589569161 20.0 -15.0 35.0 6.927437641723355 -0.2710914688464614 0.5125263237765529 0.0 -5.0 5.0 25.0 712.1547619047618 431.0891439909297 748.5 676.5 72.0 17.766439909297052 -1.0628916359681768 -0.06842613636871682 713.5 695.5 727.875 0
62 38 783.5526315789474 355.14196675900286 815.0 735.0 80.0 15.283933518005536 -0.25239960584069543 -0.5796213249718379 785.0 775.0 798.75 29775.0 1.0526315789473684 112.04986149584488 25.0 -20.0 45.0 9.002770083102492 -0.6331062322664822 0.03904243438893009 0.0 -5.0 10.0 40.0 780.25 210.68092105263162 801.5 750.5 51.0 12.13157894736842 -0.74752750616081 -0.3694200908761599 782.0 770.875 790.25 0
63 42 711.9047619047618 2915.4195011337865 790.0 640.0 150.0 49.705215419501144 -1.5749973915994433 0.1017934995738024 702.5 665.0 763.75 29900.0 -0.4761904761904762 139.0589569160998 25.0 -25.0 50.0 9.09297052154195 0.09844364721251876 0.23373628610104025 0.0 -8.75 5.0 -20.0 715.6071428571429 2716.1611394557817 782.5 646.0 136.5 47.68367346938776 -1.6391749323261604 0.06210879254003712 710.0 662.75 777.875 0
64 42 718.2142857142858 710.5017006802722 765.0 670.0 95.0 23.843537414965983 -1.2811875745326842 -0.040573438588197806 715.0 696.25 745.0 30165.0 -1.1904761904761905 41.439909297052154 10.0 -20.0 30.0 5.170068027210885 0.3844030533665448 -0.4876023539442418 0.0 -5.0 5.0 -50.0 723.6547619047618 599.6129535147393 754.0 685.5 68.5 22.47335600907029 -1.506110437935445 -0.30112776622963233 731.25 700.125 746.375 0
65 44 671.8181818181819 1151.2396694214874 735.0 630.0 105.0 29.276859504132236 -1.0176410524059156 0.614816460900704 665.0 643.75 692.5 29560.0 0.4545454545454545 53.20247933884296 15.0 -15.0 30.0 5.5578512396694215 -0.20194551795645044 -0.2457616293665739 0.0 -5.0 5.0 20.0 668.0909090909091 648.8780991735538 725.0 636.0 89.0 21.694214876033058 -0.7309607587507454 0.5447033420671593 663.0 646.25 688.125 0
